frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
171,14,[721.9197998046875 2635.129150390625 1711.92626953125 3571.1689453125],truck,[1099.5872802734375 3475.0986328125 1305.4288330078125 3543.3603515625],0.48090431094169617,JL,0.3667966032269445
172,14,[715.7708740234375 2659.5693359375 1721.075927734375 3611.670166015625],truck,[1093.052978515625 3256.4130859375 1315.381103515625 3328.577880859375],0.3931749761104584,ISKUZU,0.8820548870725319
173,14,[709.4010620117188 2683.579345703125 1726.1932373046875 3649.086181640625],truck,[1104.0902099609375 3293.578857421875 1302.90869140625 3366.413818359375],0.29848796129226685,ISUUZU,0.356909996360342
175,14,[704.6802368164062 2724.140869140625 1744.3287353515625 3717.987060546875],truck,[1072.937744140625 3618.079833984375 1317.5618896484375 3678.15966796875],0.38771817088127136,3,0.5628248624028664
176,14,[698.2324829101562 2748.795654296875 1751.0452880859375 3751.665771484375],truck,[1105.219970703125 3390.9052734375 1317.9310302734375 3462.4541015625],0.46720948815345764,ISKZU,0.6543336858229611
177,14,[693.1427001953125 2772.297119140625 1753.8873291015625 3781.196533203125],truck,[1104.1058349609375 3422.94140625 1317.8099365234375 3492.654052734375],0.7002988457679749,ISQUZU,0.38980940309453393
179,14,[685.1671752929688 2816.395263671875 1771.5240478515625 3840.0],truck,[1087.9051513671875 3768.30126953125 1323.9100341796875 3837.378173828125],0.5692715644836426,34,0.17540894927688902
180,14,[694.8094482421875 2846.5458984375 1778.0057373046875 3840.0],truck,[1100.339111328125 3528.79833984375 1331.8345947265625 3604.37109375],0.6132165193557739,ISKUZU,0.5489744985236377
181,14,[681.23779296875 2870.5810546875 1784.616943359375 3840.0],bus,[1124.8851318359375 3573.005859375 1329.70654296875 3638.2939453125],0.35430413484573364,SIUZU,0.24350398711889634
183,14,[673.6229858398438 2916.611572265625 1786.1375732421875 3840.0],car,[1078.41357421875 3642.170654296875 1335.5101318359375 3712.897705078125],0.6588866710662842,ISKUZU,0.40645575489346003
193,4,[53.826969146728516 2024.9927978515625 682.3834838867188 2824.57421875],car,[188.79135131835938 2690.335205078125 411.59161376953125 2759.13232421875],0.2596204876899719,43L,,0.23170587420463562
202,4,[0.0 2118.309814453125 659.0276489257812 3003.4052734375],car,[111.18524169921875 2868.304931640625 328.1352844238281 2922.401611328125],0.30740875005722046,0JL,0.1796522318099363
205,4,[0.0 2147.9755859375 643.8027954101562 3067.86962890625],car,[100.74636840820312 2931.006591796875 338.4060974121094 2987.2841796875],0.2603756785392761,L3,0.7812146979296632
281,8,[993.699462890625 1063.671875 1462.6199951171875 1816.976806640625],truck,[1238.1064453125 1586.734130859375 1378.37451171875 1638.907470703125],0.34498459100723267,32270,0.3033677505254649
377,8,[880.174072265625 1290.5028076171875 1627.792724609375 2610.53662109375],truck,[1089.5518798828125 2468.04345703125 1430.6502685546875 2547.18603515625],0.4208328127861023,6JLRL95167,0.3098978719753914
380,8,[889.88037109375 1682.68212890625 1631.9306640625 2654.40576171875],bus,[1182.7237548828125 2520.343505859375 1442.0701904296875 2594.984619140625],0.4022320806980133,0LRL35161,0.35991186296619626
395,8,[838.0576171875 1365.0426025390625 1714.7891845703125 2905.7099609375],truck,[1212.903564453125 2769.422607421875 1475.778564453125 2855.87548828125],0.35468393564224243,1L,0.31044344084477954
397,647,[832.9718017578125 1778.6922607421875 1710.92333984375 2945.396484375],truck,[1094.50341796875 2796.006591796875 1351.508056640625 2895.0068359375],0.34918516874313354,63L,0.14811823167865346
398,647,[832.8675537109375 1788.94140625 1728.5430908203125 2967.4228515625],truck,[1008.5716552734375 1934.1181640625 1612.46484375 2302.201904296875],0.26817458868026733,C*,0.9902062818001387
400,647,[827.9498291015625 1822.408447265625 1749.670166015625 3009.2607421875],truck,[1003.1890869140625 1956.960205078125 1630.4827880859375 2327.806640625],0.35049381852149963,C,0.9749961331881117
403,647,[816.3411865234375 1880.5177001953125 1757.5997314453125 3074.53515625],truck,[1152.0869140625 2931.93017578125 1489.6224365234375 3024.921630859375],0.382020503282547,9JL,,0.22016167640686035
404,647,[814.9900512695312 1870.602783203125 1783.6319580078125 3101.612060546875],truck,[1088.328125 2954.117431640625 1488.1534423828125 3047.895751953125],0.5032842755317688,8J,0.09718419054888748
405,647,[810.550537109375 1868.6744384765625 1775.628173828125 3123.58544921875],truck,[1166.960205078125 2982.281494140625 1494.6728515625 3070.59765625],0.5110610127449036,0JL,0.14314095378157446
406,647,[807.2976684570312 1873.2933349609375 1793.411865234375 3148.92333984375],truck,[998.6705932617188 2042.21826171875 1653.85107421875 2445.567626953125],0.3895103335380554,C,0.9912372518570898
407,647,[805.4022216796875 1992.9788818359375 1782.022705078125 3172.3642578125],truck,[1180.4622802734375 3032.124755859375 1503.0977783203125 3121.623779296875],0.7150425910949707,0JL,0.18068706515290772
408,647,[799.6892700195312 2046.8865966796875 1795.75537109375 3201.014892578125],truck,[1077.8602294921875 3053.91943359375 1363.10888671875 3145.27001953125],0.2772188186645508,RI,0.6376141329246248
410,8,[793.8117065429688 1995.129150390625 1833.0830078125 3260.338134765625],truck,[988.3375854492188 2097.584716796875 1667.2510986328125 2526.37744140625],0.46649953722953796,None,0.0
411,8,[786.0362548828125 2071.147216796875 1840.6990966796875 3285.406982421875],bus,[982.2147216796875 2111.29248046875 1667.2738037109375 2550.059326171875],0.2622759938240051,None,0.0
418,8,[763.4053344726562 2163.23583984375 1890.8507080078125 3499.744873046875],truck,[978.8750610351562 2234.70361328125 1717.947998046875 2713.799072265625],0.4100334048271179,C,0.9896018426639017
420,8,[756.6090698242188 2094.416748046875 1909.4508056640625 3561.603759765625],truck,[1181.2230224609375 3410.47705078125 1554.511962890625 3502.72119140625],0.5582797527313232,0J4,0.15357612124727432
426,8,[727.4066772460938 2179.983642578125 1900.525390625 3787.361328125],truck,[979.7471923828125 2375.142333984375 1782.7694091796875 2948.908447265625],0.2560594379901886,),0.14330709194929625
427,8,[720.3521728515625 2196.330810546875 1935.84228515625 3824.253662109375],truck,[967.4939575195312 2401.27978515625 1789.1015625 2971.085693359375],0.4232981204986572,0,0.17150442397911547
429,8,[708.984619140625 2235.571533203125 1970.685302734375 3840.0],truck,[960.907470703125 2432.821533203125 1816.7398681640625 3045.791259765625],0.30366945266723633,),0.1397345126488867
440,8,[650.14453125 2458.369384765625 1965.62890625 3840.0],truck,[953.2036743164062 2696.662353515625 1875.9627685546875 3456.151611328125],0.5333671569824219,0,0.5423895299134394
541,97,[151.72085571289062 1933.979248046875 682.212890625 2569.935302734375],car,[251.5150909423828 2459.5458984375 439.7115173339844 2533.787109375],0.3125818073749542,035KD7723,0.6033372459664302
